TM_DRIVERID,TM_REGISTRATION_NUMBER,COMPANY_CODE,VEHICLE_TYPE_DESCRIPTION,PRODUCT_CODE,FUEL_TYPE,MAX_SPEED,NO_OF_HARSH_BRAKES,NO_OF_HARSH_ACCELERATION,NO_OF_SPEED_VIOLATIONS,NO_EXCESS_IDLE,NO_OF_TRIPS,ENGINE_CAPACITY,FUEL_CONSUMPTION,NUMBER_OF_GEARS,RENTAL,KM_DRIVEN,PROJECTED_EXCESS_KM_CHARGE,SPEED_PENALTY_POINTS,SPEEDING_TIME_SECONDS,DRIVING_TIME,total_time_driven,TM_SCORE,Num_times_yawned,Num_times_Angry,Num_times_sleepy,cluster
65535,FJ07VNGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,172,12,12,236,98,193,1987,7.4,0,11186.185128000001,3038.4615,804.87,503.5,3663.5,2046.0,67,65.39704250000001,8,10,9,4
65535,FJ10SSGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,176,25,15,388,169,158,2393,7.13,6,19948.493333333336,2107.2386666666666,338.2,961.0,5914.666666666667,1742.6666666666667,77,63.43382666666667,9,11,12,0
65535,FJ10TGGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,148,5,54,56,116,182,1598,6.0,6,9314.770877333334,3312.0076666666664,0.0,75.0,923.6666666666666,2450.6666666666665,64,60.99440333333333,9,11,11,4
65535,FJ10VGGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,145,14,3,499,45,86,2393,7.13,6,7807.236884999999,2101.25,6961.6,1024.5,7571.5,794.0,37,55.61686,6,9,8,0
65535,FJ10ZYGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,170,2,9,243,36,44,2393,7.13,6,13888.332293333335,1078.6000000000001,0.0,506.0,3690.3333333333335,1128.0,17,50.23260666666667,6,11,8,2
65535,FJ11BKGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,160,13,2,440,178,151,2393,7.13,6,7807.236884999999,2734.45,3557.75,1016.0,6694.5,1358.0,69,44.99772,7,9,9,0
65535,FJ11FBGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,178,12,8,1012,235,118,2393,7.13,6,7807.236884999999,2615.6666666666665,7452.75,3078.6666666666665,15338.0,1141.3333333333333,52,57.5932,36,30,44,3
65535,FJ11FVGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,169,12,10,1286,215,137,2393,7.13,6,10157.338440000001,2734.05,0.0,2916.0,19451.5,1266.0,47,44.727575,8,9,9,0
65535,FJ11HHGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,171,34,5,857,226,192,2393,7.13,6,16665.83,4082.7380000000003,8250.3,2045.5,13037.0,1358.0,78,65.2794725,29,26,29,3
65535,FJ11JXGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,169,7,3,225,96,74,2393,7.13,6,2280.423830000001,1538.875,0.0,487.0,3406.5,1161.0,37,64.65391,6,10,9,2
65535,FJ14SPGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,133,21,11,0,109,145,1395,5.2,6,9001.911304333333,3137.753,15278.6,0.0,3.3333333333333335,2610.6666666666665,63,81.90482333333334,10,11,11,4
65535,FJ17KMGP,RSA,PASS ALL(EXCL D/CAB),FM,DIESEL,18,0,0,0,2,1,2755,8.0,6,280.02,0.1,0.0,0.0,0.0,640.0,0,91.39073,7,10,8,2
65535,FJ20RYGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,177,27,29,636,171,180,1197,6.2,0,30700.976874999997,3319.2443333333335,5.5,1398.6666666666667,9669.666666666666,1088.0,84,47.93117000000001,6,7,8,0
65535,FJ20SCGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,169,18,25,63,193,124,1197,6.2,0,9945.386874999998,1421.606,0.0,121.33333333333333,1029.3333333333333,1456.0,50,54.38601666666667,6,7,6,4
65535,FJ20SFGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,177,33,28,397,143,137,1197,6.2,0,16863.916875,1555.8983333333333,0.0,1143.6666666666667,6019.333333333333,1741.3333333333333,38,52.23475,8,8,7,0
65535,FJ20SHGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,180,7,22,397,70,75,1197,6.2,0,9945.386874999998,1257.8106666666667,0.0,1067.3333333333333,6007.666666666667,1144.0,25,39.15464333333333,6,9,8,0
65535,FJ20SKGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,158,22,48,350,324,170,1197,6.2,0,9945.386874999998,2762.2803333333336,3126.0,615.0,5370.0,1898.6666666666667,68,54.74026333333333,8,9,9,4
65535,FJ20SNGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,163,19,22,74,177,78,1197,6.2,0,30700.976875000004,1413.1603333333333,0.0,136.33333333333334,1212.6666666666667,1774.6666666666667,58,52.435923333333335,8,8,8,4
65535,FJ20SPGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,158,8,24,167,105,167,1197,6.2,0,30700.976875000004,1639.3786666666667,0.0,280.0,2587.6666666666665,1597.3333333333333,54,48.43382,6,9,10,4
65535,FJ20SZGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,181,16,28,233,641,219,1197,6.2,0,25295.8753125,2267.7995,0.0,629.25,3563.0,1485.0,87,55.955797499999996,6,9,9,4
65535,FJ26PMGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,66,0,0,0,0,5,2755,7.58,6,12597.08,8.2,0.0,0.0,0.0,1500.0,0,95.80171999999999,8,6,10,2
