,distance,p-value,outlier,FR,FL,RR,RL,Steering_Wheel_Absolute_Angle,Acceleration_Sensor_Value,Yaw_Rate,Lateral_Sensor_Value,Vehicle_Speed
2016-04-20 06:33:03.600,4.601366304364192,0.0010398140810105039,1,-6.474999999999909,-4.524999999999977,4.149999999999977,3.875,1.9,1.5625,-0.777,-0.0625,63.789062
2016-04-20 06:31:30.500,3.848308096784047,0.003981619059447272,1,-13.0,-11.925,-12.6,-4.949999999999999,-162.75999999999996,-0.05,0.008999999999999998,-0.0375,0.0
2016-04-20 06:32:02.300,3.7844781023033254,0.00445611520604583,1,4.849999999999966,8.399999999999977,10.175000000000011,4.150000000000034,3.0500000000000003,1.775,-0.899,0.0625,47.40625
2016-04-20 06:29:36.400,3.5145787574252005,0.007155436964170758,1,-2.625,-7.175,0.0,0.0,-7.9,0.875,-0.030000000000000006,-0.0625,0.484375
2016-04-20 06:32:29.700,3.4959798794659402,0.007391656263234236,1,-9.0,-3.625,-9.225,-9.25,132.70000000000002,-0.4,0.009999999999999998,-0.0625,0.398438
2016-04-20 06:32:32.100,3.362817023315241,0.009320937785978534,1,-6.3,-4.75,-0.9749999999999996,-7.7,132.70000000000002,-1.025,-0.11400000000000002,-0.1375,0.523438
2016-04-20 06:32:57.300,3.142640562960809,0.013641498257639717,1,6.099999999999994,2.6750000000000114,9.550000000000011,9.049999999999983,189.97999999999996,2.1625,29.185000000000002,3.05,23.039062
2016-04-20 06:30:10.100,2.759108171472496,0.026249983856058257,1,-2.325,-6.3,0.0,-1.5999999999999996,-1.3000000000000003,0.5625,-0.11199999999999999,-0.05,0.429688
2016-04-20 06:31:57.000,2.6725764227858786,0.030373235327390558,1,1.875,2.6000000000000227,3.6750000000000114,-1.9250000000000114,0.8699999999999999,0.35,-0.9219999999999999,0.075,38.703125
2016-04-20 06:32:32.200,2.620478713057295,0.03315022131527812,1,-4.2,-4.75,-8.775,-3.3,132.70000000000002,0.1375,0.418,-0.0625,0.0
2016-04-20 06:31:23.200,2.619792915566222,0.03318836081581611,1,-0.4749999999999943,-0.7000000000000028,5.825000000000003,2.6499999999999915,-234.22999999999996,-0.475,-15.982999999999999,0.25,9.109375
2016-04-20 06:31:39.500,2.571126464443227,0.03600554201628936,1,7.125,3.5749999999999886,9.649999999999977,6.200000000000017,-171.45000000000002,1.175,-24.845000000000002,-0.6125,18.273438
2016-04-20 06:31:39.600,2.5628586129185584,0.03650648247689103,1,8.050000000000011,5.0,10.050000000000011,4.849999999999994,-138.96999999999997,1.4375,-20.403999999999996,0.0,18.96875
2016-04-20 06:31:30.700,2.5121318116504017,0.03972989301439911,1,0.0,0.0,0.0,-5.0,-162.5,-0.7625,0.121,-0.1125,0.0
2016-04-20 06:31:38.800,2.504211832163077,0.04025723026042183,1,4.375,5.150000000000006,2.4750000000000085,8.174999999999997,-362.93999999999994,1.075,-32.098,-3.4125,13.726562
2016-04-20 06:32:02.600,2.5030274633611485,0.040336664866034155,1,2.974999999999966,2.75,8.300000000000011,7.550000000000011,4.99,1.8375,-0.049999999999999996,0.35,48.789062
2016-04-20 06:31:57.500,2.4809458241342135,0.04184551696011751,1,-2.5500000000000114,-1.5500000000000114,2.4250000000000114,-2.3999999999999773,0.72,0.1,-0.825,-0.0125,38.867188
2016-04-20 06:31:38.700,2.4753835787570555,0.04223404635837047,1,7.450000000000003,7.8500000000000085,6.949999999999989,2.674999999999997,-372.23999999999995,1.275,-31.173000000000002,-2.675,13.21875
2016-04-20 06:36:03.200,2.426237079916843,0.04582065730207796,1,0.0,-3.4000000000000004,-1.6500000000000004,-5.7,3.1000000000000005,-1.0875,-0.051000000000000004,0.25,0.875
2016-04-20 06:31:46.400,2.422828689769709,0.04607993129853849,1,-1.0249999999999773,0.39999999999997726,0.5999999999999659,-3.8999999999999773,0.29999999999999993,0.0,-1.0059999999999998,0.0625,31.023438
2016-04-20 06:32:02.200,2.410270643690127,0.04704739152679538,1,8.400000000000034,5.75,4.600000000000023,7.599999999999966,2.74,2.025,-1.031,-0.1,46.414062
2016-04-20 06:31:42.400,2.3928550036305927,0.04842130688776569,1,3.799999999999983,3.0,-0.625,4.224999999999994,4.24,0.625,0.5940000000000001,0.1125,28.023438
2016-04-20 06:32:02.400,2.3297532012307385,0.05372782093939321,0,6.625,7.550000000000011,2.5249999999999773,7.25,4.130000000000001,1.6125,0.10300000000000001,0.425,47.40625
2016-04-20 06:31:38.900,2.32880726636143,0.05381144349029643,0,4.9750000000000085,7.199999999999989,3.0,8.025000000000006,-347.8,1.1,-34.727999999999994,-3.025,14.304688
2016-04-20 06:32:12.600,2.297324127663063,0.056666524131610996,0,-8.899999999999977,-10.425000000000011,-4.925000000000011,-6.375,2.650000000000001,-2.0,0.22299999999999995,-0.025,37.5625
2016-04-20 06:31:39.800,2.276633933884593,0.05862084017558267,0,8.224999999999994,5.025000000000006,9.5,5.599999999999994,-99.07,1.6,-15.107,-0.275,20.4375
2016-04-20 06:31:41.800,2.2740459712374776,0.05886975808330941,0,-1.1500000000000057,-1.6000000000000227,-4.274999999999977,0.7750000000000057,-2.1700000000000004,-0.05,-0.633,-0.075,26.5625
2016-04-20 06:30:23.400,2.264636681752415,0.059783277361307396,0,-2.2750000000000057,0.30000000000001137,0.4749999999999943,3.75,277.07000000000005,0.4125,21.707,-0.2,11.078125
2016-04-20 06:31:47.700,2.2561790054344497,0.060615905727982256,0,-2.3000000000000114,-1.8000000000000114,2.6499999999999773,2.75,3.28,-0.025,-0.6279999999999999,0.1625,29.90625
